Level,Subject,Year,Session month,Month code,Folder,QP PDF filename,Expected MS PDF filename,Paper ID
O-Level,"Accounting",2020,"May-June session",06,"Accounting-0452","Accounting-7707-2020-unit1-2020-06-12-qp.pdf","Accounting-7707-2020-unit1-2020-06-12-ms.pdf","accounting-7707-2020-unit1-june-p12-qp"
O-Level,"Accounting",2020,"May-June session",06,"Accounting-0452","Accounting-7707-2020-unit2-2020-06-22-qp.pdf","Accounting-7707-2020-unit2-2020-06-22-ms.pdf","accounting-7707-2020-unit2-june-p22-qp"
O-Level,"Accounting",2020,"October-November session",11,"Accounting-0452","Accounting-7707-2020-unit1-2020-11-13-qp.pdf","Accounting-7707-2020-unit1-2020-11-13-ms.pdf","accounting-7707-2020-unit1-november-p13-qp"
O-Level,"Accounting",2020,"October-November session",11,"Accounting-0452","Accounting-7707-2020-unit2-2020-11-23-qp.pdf","Accounting-7707-2020-unit2-2020-11-23-ms.pdf","accounting-7707-2020-unit2-november-p23-qp"
O-Level,"Accounting",2021,"May-June session",06,"Accounting-0452","Accounting-7707-2021-unit2-2021-06-24-qp.pdf","Accounting-7707-2021-unit2-2021-06-24-ms.pdf","accounting-7707-2021-unit2-june-p24-qp"
O-Level,"Accounting",2021,"October-November session",11,"Accounting-0452","Accounting-7707-2021-unit2-2021-11-23-qp.pdf","Accounting-7707-2021-unit2-2021-11-23-ms.pdf","accounting-7707-2021-unit2-november-p23-qp"
O-Level,"Accounting",2022,"May-June session",06,"Accounting-0452","Accounting-7707-2022-unit1-2022-06-12-qp.pdf","Accounting-7707-2022-unit1-2022-06-12-ms.pdf","accounting-7707-2022-unit1-june-p12-qp"
O-Level,"Accounting",2022,"May-June session",06,"Accounting-0452","Accounting-7707-2022-unit2-2022-06-22-qp.pdf","Accounting-7707-2022-unit2-2022-06-22-ms.pdf","accounting-7707-2022-unit2-june-p22-qp"
O-Level,"Accounting",2022,"October-November session",11,"Accounting-0452","Accounting-7707-2022-unit1-2022-11-13-qp.pdf","Accounting-7707-2022-unit1-2022-11-13-ms.pdf","accounting-7707-2022-unit1-november-p13-qp"
O-Level,"Accounting",2023,"May-June session",06,"Accounting-0452","Accounting-7707-2023-unit1-2023-06-12-qp.pdf","Accounting-7707-2023-unit1-2023-06-12-ms.pdf","accounting-7707-2023-unit1-june-p12-qp"
O-Level,"Accounting",2023,"May-June session",06,"Accounting-0452","Accounting-7707-2023-unit2-2023-06-22-qp.pdf","Accounting-7707-2023-unit2-2023-06-22-ms.pdf","accounting-7707-2023-unit2-june-p22-qp"
O-Level,"Accounting",2023,"October-November session",11,"Accounting-0452","Accounting-7707-2023-unit1-2023-11-13-qp.pdf","Accounting-7707-2023-unit1-2023-11-13-ms.pdf","accounting-7707-2023-unit1-november-p13-qp"
O-Level,"Accounting",2023,"October-November session",11,"Accounting-0452","Accounting-7707-2023-unit2-2023-11-23-qp.pdf","Accounting-7707-2023-unit2-2023-11-23-ms.pdf","accounting-7707-2023-unit2-november-p23-qp"
O-Level,"Accounting",2024,"May-June session",06,"Accounting-0452","Accounting-7707-2024-unit1-2024-06-12-qp.pdf","Accounting-7707-2024-unit1-2024-06-12-ms.pdf","accounting-7707-2024-unit1-june-p12-qp"
O-Level,"Accounting",2024,"October-November session",11,"Accounting-0452","Accounting-7707-2024-unit1-2024-11-13-qp.pdf","Accounting-7707-2024-unit1-2024-11-13-ms.pdf","accounting-7707-2024-unit1-november-p13-qp"
O-Level,"Accounting",2024,"October-November session",11,"Accounting-0452","Accounting-7707-2024-unit2-2024-11-23-qp.pdf","Accounting-7707-2024-unit2-2024-11-23-ms.pdf","accounting-7707-2024-unit2-november-p23-qp"
O-Level,"Accounting",2025,"May-June session",06,"Accounting-0452","Accounting-7707-2025-unit1-2025-06-12-qp.pdf","Accounting-7707-2025-unit1-2025-06-12-ms.pdf","accounting-7707-2025-unit1-june-p12-qp"
O-Level,"Accounting",2025,"May-June session",06,"Accounting-0452","Accounting-7707-2025-unit2-2025-06-22-qp.pdf","Accounting-7707-2025-unit2-2025-06-22-ms.pdf","accounting-7707-2025-unit2-june-p22-qp"
O-Level,"Biology",2021,"May-June session",06,"Biology-0610","Biology-5090-2021-unit1-2021-06-12-qp.pdf","Biology-5090-2021-unit1-2021-06-12-ms.pdf","biology-5090-2021-unit1-june-p12-qp"
O-Level,"Biology",2021,"May-June session",06,"Biology-0610","Biology-5090-2021-unit2-2021-06-22-qp.pdf","Biology-5090-2021-unit2-2021-06-22-ms.pdf","biology-5090-2021-unit2-june-p22-qp"
O-Level,"Biology",2021,"May-June session",06,"Biology-0610","Biology-5090-2021-unit6-2021-06-62-qp.pdf","Biology-5090-2021-unit6-2021-06-62-ms.pdf","biology-5090-2021-unit6-june-p62-qp"
O-Level,"Biology",2021,"October-November session",11,"Biology-0610","Biology-5090-2021-unit1-2021-11-12-qp.pdf","Biology-5090-2021-unit1-2021-11-12-ms.pdf","biology-5090-2021-unit1-november-p12-qp"
