

### O-Level ΓÇö by subject & year

| Subject | Year | QP PDFs | JSON created | Not created | Why failed |
|---------|------|--------:|-------------:|------------:|------------|
| Accounting | 2020 | 8 | 4 | 4 | no MS 4 |
| Accounting | 2021 | 6 | 4 | 2 | no MS 2 |
| Accounting | 2022 | 7 | 4 | 3 | no MS 3 |
| Accounting | 2023 | 8 | 4 | 4 | no MS 4 |
| Accounting | 2024 | 7 | 4 | 3 | no MS 3 |
| Accounting | 2025 | 6 | 4 | 2 | no MS 2 |
| **Accounting summary** | | | **Created years:** none | **No JSON years:** none | **Partial:** 2020, 2021, 2022, 2023, 2024, 2025 |
| Biology | 2021 | 16 | 10 | 6 | no MS 6 |
| Biology | 2022 | 16 | 9 | 7 | parse fail 1; no MS 6 |
| Biology | 2023 | 16 | 7 | 9 | parse fail 3; no MS 6 |
| Biology | 2024 | 13 | 6 | 7 | parse fail 1; no MS 6 |
| Biology | 2025 | 16 | 5 | 11 | parse fail 8; no MS 3 |
| **Biology summary** | | | **Created years:** none | **No JSON years:** none | **Partial:** 2021, 2022, 2023, 2024, 2025 |
| Business | 2015 | 13 | 0 | 13 | parse fail 12; no MS 1 |
| Business | 2016 | 12 | 4 | 8 | parse fail 7; no MS 1 |
| Business | 2017 | 13 | 13 | 0 | ΓÇö |
| Business | 2018 | 12 | 11 | 1 | parse fail 1 |
| Business | 2019 | 13 | 12 | 1 | no MS 1 |
| Business | 2020 | 13 | 7 | 6 | parse fail 6 |
| Business | 2021 | 13 | 13 | 0 | ΓÇö |
| Business | 2022 | 12 | 10 | 2 | parse fail 2 |
| Business | 2023 | 12 | 9 | 3 | parse fail 3 |
| Business | 2024 | 13 | 12 | 1 | parse fail 1 |
| Business | 2025 | 13 | 9 | 4 | parse fail 4 |
| **Business summary** | | | **Created years:** 2017, 2021 | **No JSON years:** 2015 | **Partial:** 2016, 2018, 2019, 2020, 2022, 2023, 2024, 2025 |
| Chemistry | 2015 | 35 | 23 | 12 | parse fail 12 |
| Chemistry | 2016 | 42 | 40 | 2 | no MS 2 |
